iter	Logloss
0	0.6797545498
1	0.667496108
2	0.6536944617
3	0.6408642126
4	0.6283617626
5	0.6170747363
6	0.6049064285
7	0.5958433473
8	0.5869457447
9	0.5772523485
10	0.5694654242
11	0.5626753656
12	0.5570665576
13	0.5511217428
14	0.5453232192
15	0.5398001083
16	0.5344113677
17	0.5291997011
18	0.5244626037
19	0.518934235
20	0.5143816804
21	0.509715352
22	0.5053833637
23	0.5020003578
24	0.4984936534
25	0.4954030734
26	0.4917120967
27	0.4888501463
28	0.4856831844
29	0.4835475408
30	0.4818441569
31	0.4800083949
32	0.4782244095
33	0.4761639348
34	0.4742351015
35	0.4721074179
36	0.4699333889
37	0.4681527461
38	0.4664594727
39	0.4646868171
40	0.4627896757
41	0.4607293162
42	0.4591355895
43	0.4572056039
44	0.455666486
45	0.4537344959
46	0.4527684548
47	0.4512278759
48	0.4495326223
49	0.4483371856
50	0.4470507307
51	0.4459361338
52	0.4448327345
53	0.4436367451
54	0.4421014182
55	0.4409376293
56	0.4397546678
57	0.4383635176
58	0.4368966704
59	0.4360348741
60	0.4349885262
61	0.4338463546
62	0.4331219063
63	0.4309703397
64	0.4295773962
65	0.4283349184
66	0.4275216904
67	0.426449666
68	0.4256007427
69	0.4243058221
70	0.4228504339
71	0.4218798623
72	0.4208404412
73	0.419869023
74	0.4189654899
75	0.4179830773
76	0.4171878458
77	0.4166063806
78	0.4154677325
79	0.4147816482
80	0.4140095289
81	0.4131753634
82	0.4123119436
83	0.4117300406
84	0.4109189243
85	0.4102132959
86	0.409372311
87	0.4085751002
88	0.4079601451
89	0.4073390405
90	0.4066221986
91	0.405984165
92	0.4055852623
93	0.4045767072
94	0.4041288521
95	0.4033544492
96	0.4023523608
97	0.4017565814
98	0.4010098592
99	0.4001027277
100	0.3994073059
101	0.3987322734
102	0.397893483
103	0.397202441
104	0.3968466113
105	0.395910041
106	0.3955053586
107	0.394954413
108	0.3943361741
109	0.3934985877
110	0.3929198096
111	0.3921381759
112	0.3917918648
113	0.3912610101
114	0.39049224
115	0.3897043399
116	0.3893506347
