iter	Passed	Remaining
0	4	2050
1	8	2183
2	12	1997
3	15	1939
4	19	1935
5	22	1882
6	26	1845
7	29	1788
8	31	1729
9	34	1712
10	38	1691
11	40	1664
12	43	1643
13	46	1610
14	49	1584
15	51	1563
16	54	1542
17	56	1519
18	59	1510
19	62	1506
20	65	1504
21	68	1489
22	71	1476
23	73	1466
24	76	1460
25	80	1458
26	83	1455
27	85	1445
28	88	1440
29	92	1447
30	95	1448
31	98	1447
32	101	1442
33	105	1444
34	108	1446
35	111	1438
36	114	1428
37	116	1421
38	119	1412
39	122	1404
40	124	1397
41	127	1392
42	130	1385
43	133	1383
44	136	1381
45	140	1383
46	143	1383
47	146	1377
48	149	1373
49	152	1371
50	155	1368
51	158	1367
52	161	1364
53	165	1370
54	169	1374
55	172	1370
56	176	1370
57	179	1366
58	182	1360
59	184	1354
60	187	1349
61	190	1344
62	193	1342
63	196	1338
64	199	1337
65	203	1337
66	206	1333
67	208	1327
68	211	1322
69	215	1321
70	219	1326
71	222	1324
72	226	1326
73	229	1322
74	232	1318
75	235	1314
76	238	1308
77	241	1306
78	244	1302
79	247	1299
80	250	1295
81	253	1292
82	256	1288
83	259	1283
84	261	1278
85	264	1274
86	268	1272
87	271	1270
88	274	1267
89	277	1263
90	280	1260
91	283	1259
92	287	1256
93	290	1254
94	293	1251
95	296	1248
96	299	1244
97	302	1239
98	304	1233
99	307	1229
100	310	1225
101	314	1225
102	317	1223
103	319	1218
104	322	1214
105	326	1212
106	329	1209
107	332	1207
108	335	1205
109	338	1201
110	341	1197
111	344	1193
112	347	1189
113	349	1184
114	352	1179
115	355	1176
116	357	1171
117	360	1167
118	363	1163
119	366	1161
120	369	1157
121	372	1154
122	375	1151
123	379	1149
124	382	1147
125	385	1143
126	387	1139
127	390	1136
128	394	1133
129	397	1131
130	400	1128
131	403	1124
132	406	1121
133	409	1117
134	411	1113
135	414	1109
136	417	1106
137	420	1104
138	425	1104
139	428	1102
140	431	1098
141	434	1095
142	437	1092
143	441	1090
144	444	1088
145	447	1085
146	451	1083
147	454	1080
148	456	1075
149	459	1073
150	463	1071
151	467	1071
152	469	1065
153	473	1063
154	476	1059
155	479	1057
156	482	1054
157	486	1052
158	488	1048
159	491	1045
160	494	1042
161	497	1039
162	501	1037
163	504	1033
164	507	1030
165	510	1028
166	515	1027
167	519	1025
168	523	1024
169	526	1022
170	530	1020
171	534	1018
172	538	1017
173	541	1014
174	545	1013
175	548	1010
176	552	1007
177	555	1004
178	558	1000
179	561	997
180	564	994
181	567	991
182	571	989
183	574	987
184	578	984
185	580	980
186	583	977
187	586	974
188	589	970
189	592	967
190	595	964
191	598	960
192	600	954
193	603	951
194	606	948
195	609	944
196	613	943
197	616	940
198	619	937
199	622	934
200	625	930
201	628	927
202	632	925
203	633	919
204	637	917
205	640	914
206	644	911
207	647	908
208	650	905
209	653	902
210	657	900
211	660	897
212	664	895
213	667	892
214	670	889
215	673	885
216	676	882
217	680	879
218	683	877
219	686	874
220	689	870
221	693	868
222	696	865
223	699	862
224	703	859
225	706	856
226	709	853
227	713	850
228	716	847
229	719	844
230	722	841
231	725	837
232	728	834
233	731	831
234	734	828
235	737	825
236	741	822
237	744	819
238	747	816
239	750	813
240	753	810
241	756	806
242	759	803
243	763	800
244	766	797
245	769	794
246	772	791
247	775	787
248	777	784
249	780	780
250	783	776
251	785	773
252	788	769
253	791	766
254	793	762
255	796	758
256	798	755
257	801	751
258	803	747
259	805	743
260	807	739
261	810	736
262	812	732
263	814	728
264	817	724
265	819	720
266	822	717
267	825	714
268	828	711
269	831	708
270	833	704
271	836	701
272	839	697
273	842	694
274	845	691
275	848	688
276	851	685
277	855	683
278	859	680
279	862	677
280	864	674
281	868	671
282	871	668
283	875	665
284	877	662
285	880	659
286	884	656
287	887	653
288	890	649
289	893	647
290	897	644
291	900	641
292	903	637
293	906	635
294	909	632
295	913	629
296	917	626
297	921	624
298	924	621
299	928	619
300	932	616
301	935	613
302	938	610
303	941	607
304	944	603
305	946	600
306	950	597
307	953	594
308	956	591
309	960	588
310	964	585
311	967	583
312	971	580
313	975	577
314	978	574
315	982	572
316	985	568
317	988	565
318	991	562
319	995	559
320	998	556
321	1002	554
322	1007	551
323	1010	549
324	1013	545
325	1016	542
326	1019	539
327	1024	537
328	1027	533
329	1030	530
330	1032	527
331	1035	524
332	1038	520
333	1041	517
334	1044	514
335	1047	511
336	1050	508
337	1053	505
338	1056	501
339	1059	498
340	1063	495
341	1066	492
342	1069	489
343	1072	486
344	1076	483
345	1079	480
346	1082	477
347	1086	474
348	1089	471
349	1092	468
350	1095	464
351	1097	461
352	1100	458
353	1103	454
354	1105	451
355	1108	448
356	1111	445
